Nr;key;Kurztitel;Langtitel;Zitiert nach:;Bde.;Verlinkt;Link vorhanden;Online abgeglichen;Digitalisat;Online-Zugriff;Geschichtsquellen.de;Arlima.net;Supplement;Band I;Band I,1;Band I,2;Band II;Band III;Band IV;Band V;Band VI;Band VII;Band VII,1;Band VII,2;Band VIII;Band IX;Band X;Band XI;Band XII;Band XIII;Band XIV;Band XV;Band XVI;Hinweis;;;;;;;;;;;;;;;
321;Kohnle,_Abt_Hugo;Kohnle, Abt Hugo;Armin Kohnle, Abt Hugo von Cluny 1049–1109, Sigmaringen 1993 (Beihefte der Francia, 32).;;;;X;X;https://perspectivia.net/publikationen/bdf/kohnle_hugo-von-cluny;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322;Kortüm,_Urkundensprache;Kortüm, Urkundensprache;Hans-Henning Kortüm, Zur päpstlichen Urkundensprache im frühen Mittelalter. Die päpstlichen Privilegien 896–1046, Sigmaringen 1995 (Beiträge zur Geschichte und Quellenkunde des Mittelalters, 17).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
323;Krusch,_Remigius-Fälschungen;Krusch, Remigius-Fälschungen;Bruno Krusch, Reimser Remigius-Fälschungen, in: Neues Archiv 20 (1895), S. 509–568.;;;;X;X;http://www.digizeitschriften.de/dms/img/?PPN=PPN345858530_0020&DMDID=dmdlog47 ;;;;;;;;;;;;;;;;;;;;;;;;;Digizeitschriften;;;;;;;;;;;;;;;
324;Kupper,_Liège;Kupper, Liège;Jean-Louis Kupper, Notger de Liège (972–1008), Bruxelles 2015 (Mémoire de la Classe des Lettres. Collection in-8°. Académie Royale de Belgique, 4,11, no 2107).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
325;Kupper,_Raoul_de_Zähringen;Kupper, Raoul de Zähringen;Jean-Louis Kupper, Raoul de Zähringen, évêque de Liège 1167–1191. Contribution à l’histoire de la politique impériale sur la Meuse moyenne, Bruxelles 1974 (Mémoire de la Classe des Lettres. Collection in -8°. Académie Royale de Belgique, 2,62).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
326;Kuttner,_La_réserve_papale;Kuttner, La réserve papale;Stephan Kuttner, La réserve papale du droit de canonisation, in: Revue historique de droit français et étranger 4,17 (1938), S. 172–228 (ND in: ders. [Hg.], The history of ideas and doctrines of canon law in the Middle Ages, London 1980 [Variorum collected studies series, 113], S. 172–228).;;;;X;X;http://www.mgh-bibliothek.de/dokumente/z/zsn2b020927.pdf ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
327;Labande,_Guibert_de_Nogent,_Autobiographie;Labande, Guibert de Nogent, Autobiographie;Guibert de Nogent, Autobiographie, ed. Edmond-René Labande, Paris 1981 (Les Classiques de l’histoire de France au Moyen Âge, 34).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
328;Labande,_Histoire_de_Beauvais;Labande, Histoire de Beauvais;Léon-Honoré Labande, Histoire de Beauvais et de ses institutions communales jusqu’au commencement du XVe siècle, Paris 1892.;;;;X;X;https://gallica.bnf.fr/ark:/12148/bpt6k7270t;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329;Labanoff_de_Rostoff,_Recueil;Labanoff de Rostoff, Recueil;Recueil de pièces historiques sur la reine Anne ou Agnès, épouse de Henri Ier, roi de France et fille de Iarosslaf Ier, grand-duc de Russie, ed. Alexandre Labanoff de Rostoff, Paris 1825.;;;;X;X;https://gallica.bnf.fr/ark:/12148/bpt6k851961b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
330;Labbe-Cossart,_Sacrosancta_concilia;Labbe/Cossart, Sacrosancta concilia;Sacrosancta concilia ad regiam editionem exacta, ed. Philippus Labbe, Gabriel Cossartius, 17 Bde., Paris 1671–1672.;;;;X;X;;;;;;;;;;;;;;;;;http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10321971-3;http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10321972-9;http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10321973-4;;;;;;;;;;;;;;;;;;;;;;
331;Laehr,_Briefsammlungen;Laehr, Briefsammlungen;Gerhard Laehr, Aus der Briefsammlung von St. Victor, in: Leo Santifaller (Hg.), Festschrift Albert Brackmann, Weimar 1931, S. 402–421.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
332;Lalore,_Chartes_de_Toussaints;Lalore, Chartes de Toussaints;Cartulaire de l’abbaye de La Chapelle-aux-Planches: chartes de Montierendier, de Saint-Étienne et de Toussaints de Chalons, d’Andecy, de Beaulieu et de Rethel, ed. Charles Lalore, Troyes 1878 (Collection des principaux cartulaires du diocèse de Troyes, 4).;;;;X;X;http://www.archive.org/details/collectiondespr00frangoog ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
333;Lambert,_Oorkonden_van_het_Sint-Donatiaanskapittel_te_Brugge;Lambert, Oorkonden van het Sint-Donatiaanskapittel te Brugge;De oorkonden van het Sint-Donatiaanskapittel te Brugge (9de eeuw–1300), ed. Véronique Lambert (Koninklijke Commissie voor Geschiedenis. Series I in 4°), Bruxelles 2008.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
334;Lamma,_Comneni_e_Staufer;Lamma, Comneni e Staufer;Paolo Lamma, Comneni e Staufer, 2 Bde., Rom 1955–1957 (Studi storici, 14–18, 22–25).;;II;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
335;de_Lasteyrie,_Cartulaire_de_Paris;de Lasteyrie, Cartulaire de Paris;Cartulaire général de Paris ou recueil de documents relatifs à l’histoire et à la topographie de Paris, ed. Robert de Lasteyrie, Bd. 1, Paris 1887 (Histoire générale de Paris).;;I;;X;X;http://www.archive.org/details/cartulairegn01lastuoft ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
336;Laudage,_Alexander_III.;Laudage, Alexander III.;Johannes Laudage, Alexander III. und Friedrich Barbarossa, Köln 1997 (Forschungen zur Kaiser- und Papstgeschichte des Mittelalters. Beihefte zu J. F. Böhmer, Regesta Imperii, 16).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
337;Lauer,_Annales;Lauer, Annales;Les annales de Flodoard, ed. Philippe Lauer, Paris 1905 (Collection de textes pour servir à l’étude et à l’enseignement de l’histoire, 39).;;;;X;X;http://www.archive.org/details/lesannalesdeflod00floduoft ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
338;Lauer,_Recueil_des_actes_de_Louis_IV;Lauer, Recueil des actes de Louis IV;Philippe Lauer, Recueil des actes de Louis IV roi de France (936–954), Pais 1894 (Chartes et diplômes relatifs à l'histoire de France 5).;;;;X;X;https://archive.org/details/recueildesactes00fran/page/n7/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
339;Lauer,_Règne;Lauer, Règne;Philippe Lauer, Le règne de Louis IV d’Outre-Mer, Paris 1900. ;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
340;Le_Prévost,_Orderici_Vitalis_Historiae;Le Prévost, Orderici Vitalis Historiae;Orderici Vitalis Historiae ecclesiasticae libri tredecim, ed. Auguste Le Prévost, 5 Bde., Paris 1838–1855.;;"IV ; V";;X;X;;https://catalogue.bnf.fr/ark:/12148/cb34187757b;;;;;;;;https://gallica.bnf.fr/ark:/12148/bpt6k6561042q;https://gallica.bnf.fr/ark:/12148/bpt6k6561032b;https://gallica.bnf.fr/ark:/12148/bpt6k6564296w;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
341;Leblond,_Cartulaire_de_l’Hôtel-Dieu_de_Beauvais;Leblond, Cartulaire de l’Hôtel-Dieu de Beauvais;Cartulaire de l’Hôtel-Dieu de Beauvais: comprenant 529 chartes la plupart originales conservées aux archives hospitalières de cette ville, ed. Victor Leblond, Paris 1919 (Publications de la Société académiques de l’Oise. Documents, 4).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
342;Leclercq,_Yves_de_Chartres,_Correspondance;Leclercq, Yves de Chartres, Correspondance;Yves de Chartres, Correspondance, ed. Jean Leclercq, Paris 1949 (Les classiques de l’histoire de France au Moyen Âge, 22).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
343;Leclercq-Rochais,_Sancti_Bernardi_opera;Leclercq/Rochais, Sancti Bernardi opera;Sancti Bernardi opera, ed. Jean Leclercq, Henri-Maria Rochais, 8 Bde., Rom 1957–1977.;;"7; 8";;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
344;Lenssen,_À_propos_de_Cîteaux;Lenssen, À propos de Cîteaux;Séraphin Lenssen, À propos de Cîteaux et S. Thomas de Cantorbéry. L’abdication du Bx Geoffroy d’Auxerre comme Abbé de Clairvaux, in: Collectanea cisterciensia 17 (1955), S. 98–110.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
345;Léonard,_Catalogue_des_actes_des_comtes_de_Toulouse;Léonard, Catalogue des actes des comtes de Toulouse;Catalogue des actes des comtes de Toulouse, ed. Émile Guillaume Léonard, Paris 1932.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
346;de_Lépinois,_Recherches_historiques;de Lépinois, Recherches historiques;Eugène de Lepinois, Recherches historiques et critiques sur l’ancien comté et les comtes de Clermont en Beauvoisis du XIe au XIIIe siècle, Beauvais 1877 (Mémoires de la Société académique d’archéologie, sciences et arts du département de l’Oise).;;;;X;X;https://archive.org/details/rechercheshisto00lpgoog ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
347;Lesne,_Hincmar;Lesne, Hincmar;Émile Lesne, Hincmar et l’empereur Lothaire. Étude sur l’église de Reims au IXe siècle, in: Revue des questions historiques, N. S. 34 (1905), S. 5–58. ;;;;X;X;https://gallica.bnf.fr/ark:/12148/bpt6k16998n/f5.item;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
348;Lesne,_Lettre;Lesne, Lettre;Émile Lesne, La lettre interpolée d’Hadrien Ier à Tilpin et l’Église de Reims au IXe siècle, in: Le Moyen Âge 26 (1913), S. 325–351, 389–413. ;;;;X;X;https://archive.org/details/lemoyenge26bruxuoft/page/324/mode/2up;;;;;https://archive.org/details/lemoyenge26bruxuoft/page/388/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
349;Levasseur,_Annales_de_l’église_cathédrale_de_Noyon;Levasseur, Annales de l’église cathédrale de Noyon;Annales de l’église cathédrale de Noyon, ed. Jacques Le Vasseur, Paris 1633.;;;;(X);X;https://books.google.fr/books/about/Annales_de_l_%C3%A9glise_cathedrale_de_Noyon.html?id=EuY-AAAAcAAJ&redir_esc=y;;;;;;;;;;;;;;;;;;;;;;;;;Googlekonto erforderlich;;;;;;;;;;;;;;;
350;Levillain,_Examen;Levillain, Examen;Léon Levillain, Examen critique des chartes mérovingiennes et carolingiennes de l’abbaye de Corbie, Paris 1902 (Mémoires et documents de l’École des chartes, 5).;;;;X;X;https://archive.org/details/examencritiqued00levigoog;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
351;Levison,_England;Levison, England;Wilhelm Levison, England and the Continent in the 8th Century, Oxford 1946 (The Ford lectures). ;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
352;Liénard,_Dict._topogr._Meuse;Liénard, Dict. topogr. Meuse;Félix Liénard, Dictionnaire topographique de la France, Bd. 19: Dictionnaire topographique du département de la Meuse, Paris 1872.;;;;X;X;http://www.archive.org/details/dictionnairetop00ligoog ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
353;Loewenfeld,_Epistolae_pontificum_Romanorum_ineditae;Loewenfeld, Epistolae pontificum Romanorum ineditae;Epistolae pontificum Romanorum ineditae, ed. Samuel Loewenfeld, Leipzig 1885.;;;;X;X;http://www.archive.org/details/epistolaepontif01popegoog ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
354;Loewenfeld,_Zur_Papstgeschichte_des_12._Jahrhunderts;Loewenfeld, Zur Papstgeschichte des 12. Jahrhunderts;Samuel Loewenfeld, Kleinere Beiträge. I.: Zur Papstgeschichte des 12. Jahrhunderts, in: Neues Archiv 11 (1886), S. 595–597.;;;;X;X;http://www.digizeitschriften.de/dms/img/?PPN=PPN345858530_0011&DMDID=dmdlog60 ;;;;;;;;;;;;;;;;;;;;;;;;;Digizeitschriften;;;;;;;;;;;;;;;
355;Lohrmann,_Kirchengut;Lohrmann, Kirchengut;Dietrich Lohrmann, Kirchengut im nördlichen Frankreich. Besitz, Verfassung und Wirtschaft im Spiegel der Papstprivilegien des 11.–12. Jahrhunderts, Bonn 1983 (Pariser historische Studien, 20).;;;;X;X;https://perspectivia.net/receive/ploneimport_mods_00011237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
356;Lohrmann,_Mühlenkonflikte;Lohrmann, Mühlenkonflikte;Dietrich Lohrmann, Vom gerichtlichen Zweikampf zum Prozeß an der Kurie: Mühlenkonflikte im französischen 11.–12. Jahrhundert, in: Lotte Kéry, Dietrich Lohrmann, Harald Müller (Hg.), Licet preter solitum. Ludwig Falkenstein zum 65. Geburtstag, Aachen 1998, S. 55–65.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
357;Lohrmann,_Papes_et_cardinaux;Lohrmann, Papes et cardinaux;Dietrich Lohrmann, Papes et cardinaux en France et en Bourgogne au temps de la Réforme grégorienne, in: Jean-François Reynaud (Hg.), L’abbaye d’Ainay. Des origines au XIIe siècle, Lyon 2008, S. 161–180.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
358;Lohrmann,_Papsturkunden_in_Frankreich_N._F._7;Lohrmann, Papsturkunden in Frankreich N. F. 7;Papsturkunden in Frankreich. N. F. 7: Nördliche Île-de-France und Vermandois, ed. Dietrich Lohrmann, Göttingen 1976 (Abhandlungen der Akademie der Wissenschaften in Göttingen. Philologisch-Historische Klasse, 3. Folge, 95).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
359;Lohrmann,_Register_Johannes’_VIII.;Lohrmann, Register Johannes’ VIII.;Dietrich Lohrmann, Das Register Papst Johannes’ VIII. 872–882, Tübingen 1968 (Bibliothek des Deutschen Historischen Instituts in Rom, 30).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
360;Lohrmann-Teske,_Papsturkunden_in_Frankreich_N._F._8;Lohrmann/Teske, Papsturkunden in Frankreich N. F. 8;Papsturkunden in Frankreich. N. F. 8: Diözese Paris I: Urkunden und Briefsammlungen der Abteien Sainte-Geneviève und Saint-Victor, ed. Dietrich Lohrmann, Gunnar Teske, Göttingen 1989 (Abhandlungen der Akademie der Wissenschaften in Göttingen. Philologisch-Historische Klasse, 3. Folge, 174).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
361;de_Loisne,_Le_cartulaire_du_chapitre_d’Arras;de Loisne, Le cartulaire du chapitre d’Arras;Le cartulaire du chapitre d’Arras, ed. Auguste de Loisne, Arras 1896.;;;;X;X;https://gallica.bnf.fr/ark:/12148/bpt6k1138526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
362;de_Loisne,_Dict._topogr._Pas-de-Calais;de Loisne, Dict. topogr. Pas-de-Calais;Auguste de Loisne, Dictionnaire topographique du département du Pas-de-Calais comprenant les noms de lieu anciens et modernes, Paris 1907.;;;;X;X;https://archive.org/details/dictionnairetopo00mencuoft/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
363;Longnon,_Dict._topogr._Marne;Longnon, Dict. topogr. Marne;Auguste Longnon, Dictionnaire topographique de la France, Bd. 15: Dictionnaire topographique du Département de la Marne, Paris 1891.;;;;X;X;http://www.archive.org/details/dictionnairetop00longgoog ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
364;Longnon,_Documents_relatifs_au_comté_de_Champagne;Longnon, Documents relatifs au comté de Champagne;Documents relatifs au comté de Champagne et de Brie 1172–1361, ed. Auguste Longnon, 3 Bde., Paris 1901–1914.;;I;;X;X;;;;;;https://gallica.bnf.fr/ark:/12148/bpt6k114596f;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
365;Longnon,_Pouillés_de_la_province_de_Reims;Longnon, Pouillés de la province de Reims;Pouillés de la province de Reims, ed. Auguste Longnon, Paris 1908 (Recueil des historiens de la France. Pouillés, 6).;;I;;X;X;;;;;;https://archive.org/details/p1recueildeshist06acad/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
366;Lot,_Année;Lot, Année;Ferdinand Lot, Une année du règne de Charles le Chauve: année 866, in: Le Moyen Âge 15 (1902), S. 393–438 (ND in: ders., Recueil des travaux historiques, Bd 2, Genf 1970 [École Pratique des Hautes Études, Sciences Historiques et Philologiques, 5,7], S. 415–460).;;;;X;X;https://archive.org/details/lemoyenge15bruxuoft/page/392/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
367;Lot,_Charte;Lot, Charte;Ferdinand Lot, Une charte fausse d’Adalbéron, archevêques de Reims, in: Bibliothèque de l’École des Chartes 52 (1891), S. 31–45 (ND in: ders., Recueil des travaux historiques, Bd. 3, Genf 1973 [École Pratique des Hautes Études, Sciences Historiques et Philologiques, 5,9], S. 13–27).;;;;X;X;http://www.persee.fr/web/revues/home/prescript/article/bec_0373-6237_1891_num_52_1_447639 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
368;Lot,_Études_Hugues_Capet;Lot, Études Hugues Capet;Ferdinand Lot, Études sur le règne de Hugues Capet et la fin du Xe siècle, Paris 1903 (Bibliothèque de l’École des Hautes Études. 4e Section. Sciences Historiques et Philologiques, 147) (ND Genf 1975). ;;;;X;X;https://archive.org/details/lot-etudes-sur-le-regne-de-hugues-capet-et-la-fin-du-xe-siecle_202203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
369;Lot,_Les_derniers_Carolingiens;Lot, Les derniers Carolingiens;Ferdinand Lot, Les derniers Carolingiens. Lothaire, Louis V, Charles de Lorraine (954–991), Paris 1891 (Bibliothèque de l’École des Hautes Études. 4e Section. Sciences Historiques et Philologiques, 87). ;;;;X;X;https://archive.org/details/lesdernierscaro01girygoog/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
370;Luchaire,_Études_sur_les_actes_de_Louis_VII;Luchaire, Études sur les actes de Louis VII;Achille Luchaire, Études sur les actes de Louis VII, Paris 1885 (Histoire des institutions monarchiques de la France sous les premiers Capétiens[Mémoires et documents]).;;;;X;X;http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00069849-2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
371;Luchaire,_Histoire;Luchaire, Histoire;Achille Luchaire, Histoire des institutions monarchiques de la France sous les premiers Capétiens (987–1180), 2 Bde., 2. Aufl., Paris 1891.;;;;X;X;;;;;;https://books.google.fr/books?id=jmvyBhq4A_IC&hl=de&pg=PP9;;;https://books.google.fr/books?id=2aquXvOC3rgC&printsec=frontcover&hl=de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372;Luchaire,_Louis_VI;Luchaire, Louis VI;Achille Luchaire, Louis VI le Gros. Annales de sa vie et de son règne (1081–1137), Paris 1890.;;;;X;X;http://www.archive.org/details/louisvilegrosan00luchgoog ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
373;Lupus,_Epistolae_et_vita;Lupus, Epistolae et vita;Epistolae et vita divi Thomae martyris et archiepiscopi Cantuariensis, nec non epistolae Alexandri III. pontificis, Galliae regis Ludovici Septimi, Angliae regis Henrici II. aliarumque plurium sublimium ex utroque foro personarum, ed. Christianus Lupus, 2 Bde., Bruxelles 1682.;;II,4;;X;X;;;;;;https://books.google.fr/books?id=mvFbAAAAQAAJ&printsec=frontcover&hl=de;;;https://books.google.fr/books?id=w_FbAAAAQAAJ&printsec=frontcover&hl=de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
374;Mabillon,_Annales;Mabillon, Annales;Annales ordinis s. Benedicti occidentalium monachorum patriarchae, ed. Jean Mabillon, 6 Bde., Paris 1703–1739. ;;"IV ; V ; VI";;X;X;;;;;;http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10940151-8;;;http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10940152-3;http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10940153-9;http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10940154-4;http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10940155-0;http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10940156-5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
375;Mabillon,_De_re_diplomatica;Mabillon, De re diplomatica;De re diplomatica, ed. Jean Mabillon, 2. Aufl., Paris 1709.;;;;X;X;http://x0b.de/mabillon/index.html ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
376;Mabillon-Germain,_Museum_Italicum;Mabillon/Germain, Museum Italicum;Museum Italicum seu collectio veterum scriptorum ex bibliothecis italicis, ed. Jean Mabillon, Michel Germain, 2 Bde., Paris 1687–1689.;;I,2;;X;X;;;;;;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10799346-8;;;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11062692-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
377;Maghe,_Chronicon_Bonae_Spei;Maghe, Chronicon Bonae Spei;Chronicon Ecclesiae Beatae Mariae Virginis Bonae Spei ordinis Praemonstratensis ex archivis eiusdem et quibusdam auctoribus compositum, ed. Engelbert Maghe, Bonne-Espérance 1704.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
378;Mahn,_L’ordre_cistercien;Mahn, L’ordre cistercien;Jean-Berthold Mahn, L’Ordre Cistercien et son gouvernement des origines au milieu du 13e siècle: 1098–1265, 2. Aufl., Paris 1951.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
379;Maksimovic,_Alexios_II._Komnenos;Maksimovic, Alexios II. Komnenos;Ljubomir Maksimovic, Alexios II. Komnenos, in: Lexikon des Mittelalters, Bd. 1, München, Zürich 1980, Sp. 386.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
380;Maleczek,_Papst_und_Kardinalskolleg;Maleczek, Papst und Kardinalskolleg;Werner Maleczek, Papst und Kardinalskolleg von 1191 bis 1216. Die Kardinäle unter Coelestin III. und Innocenz III., Wien 1984 (Publikationen des Historischen Instituts beim Österreichischen Kulturinstitut in Rom, 1,6).;;;;(X);X;https://archive.org/details/papstundkardinal0000male;;;;;;;;;;;;;;;;;;;;;;;;;Ausleihbar mit kostenlosem Konto (archive.org);;;;;;;;;;;;;;;
381;Mansi,_Conc._coll.;Mansi, Conc. coll.;Sacrorum conciliorum nova et amplissima collectio, ed. Joannes Dominicus Mansi, Jean-Baptiste Martin, Louis Petit, 53 Bde., 2. Aufl. Paris 1901–1927.;;;;X;X;https://catalogue.bnf.fr/ark:/12148/cb37252744r ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
382;Marini,_Papiri_dipl.;Marini, Papiri dipl.;Gaetano Marini, I Papiri diplomatici, Rom 1805.;;;;(X);X;http://books.google.com/books?id=UBF4CR_Ax1kC ;;;;;;;;;;;;;;;;;;;;;;;;;Googlekonto erforderlich;;;;;;;;;;;;;;;
383;Marlot,_Histoire;Marlot, Histoire;Guillaume Marlot, Histoire de la ville, cité et université de Reims, métropolitaine de la Gaule Belgique, divisée en douze livres contenant l’estat ecclésiastique et civil du pais, 4 Bde., Reims 1843–1846.;;III;;X;X;;;;;;;;;;http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10358204-0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
384;Marlot,_Metropolis_Remensis_historia;Marlot, Metropolis Remensis historia;Metropolis Remensis historia. A Frodoardo primum arctius digesta, nunc demum aliunde accersitis plurimum aucta, et illustrata et ad nostrum hoc saeculum fideliter deducta, ed. Guillaume Marlot, 2 Bde., Reims 1666–1679.;;"I ; II";;X;X;;;;;;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10327968-6;;;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10327969-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
385;Martène-Durand,_Ampl._coll.;Martène/Durand, Ampl. coll.;Veterum scriptorum et monumentorum historicorum, dogmaticorum, moralium amplissima collectio, ed. Edmond Martène, Ursinus Durand, 9 Bde., Paris, 1724–1733.;;"I ; II ; VI";;X;X;;;;;;https://archive.org/details/VeterumScriptorumEtMonumentorum1;;;https://archive.org/details/VeterumScriptorumEtMonumentorum2;https://archive.org/details/VeterumScriptorumEtMonumentorum3;https://archive.org/details/VeterumScriptorumEtMonumentorum4;https://archive.org/details/VeterumScriptorumEtMonumentorum5;https://archive.org/details/VeterumScriptorumEtMonumentorum6;https://archive.org/details/VeterumScriptorumEtMonumentorum7;;;https://archive.org/details/VeterumScriptorumEtMonumentorum8;https://archive.org/details/VeterumScriptorumEtMonumentorum9;;;;;;;;;;;;;;;;;;;;;;;
386;Martène-Durand,_Thesaurus;Martène/Durand, Thesaurus;Thesaurus novus anecdotorum, complectens regnum ac principum aliorumque virorum illustrium epistolas et diplomata, ed. Edmond Martène, Ursinus Durand, Paris 1717.;;I;;X;X;;;;;;https://babel.hathitrust.org/cgi/pt?id=ucm.5326651855&view=1up&seq=6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
387;Martí_Bonet,_Roma;Martí Bonet, Roma;Josep Maria Martì Bonet, Roma y las iglesias particulares en la concesión del palio a los obispos y arzobispos de Occidente, año 513–1143, Barcelona 1976 (Colectánea San Paciano, 214).;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
388;Martin,_Conciles_et_bullaire;Martin, Conciles et bullaire;Jean-Baptiste Martin, Conciles et bullaire du diocèse de Lyon des origines à la réunion du Lyonnais à la France en 1312, Lyon 1905.;;;;X;X;https://archive.org/details/concilesetbulla00martgoog ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
389;Masson,_Epistolae;Masson, Epistolae;Epistolae Stephani IX, Nicolai II et Alexandri II pontificum Romanorum ad Gervasium Remensem archiepiscopum, nunc primum cleri Galliae auspiciis editae e bibliotheca Papirii Massoni, Lutetiae Parisiorum 1610.;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;Googlekonto erforderlich;;;;;;;;;;;;;;;
