key;Kurztitel;Kurztitel der Editionen;Geschichtsquellen.de;Arlima.net;Quellen;Langtitel;Bde.;Verlinkt;Link;Band I;Band II;Band III;Band IV;Band V;Band VI
Israel,_Urkundenbuch_des_Erzstifts_Magdeburg;Israel, Urkundenbuch des Erzstifts Magdeburg;;;;;Urkundenbuch des Erzstifts Magdeburg, Tl. 1, ed. Friedrich Israel, Walter Möllenberg, Magdeburg 1937 (Geschichtsquellen der Provinz Sachsen und des Freistaates Anhalt, N. R. 18).;I;;;;;;;;
Ital._Pont._5;Ital. Pont. 5;;;;;Italia Pontificia 5: Aemilia sive provincia Ravennas, ed. Paul Fridolin Kehr, Berlin 1911 (Regesta Pontificum Romanorum).;;;;;;;;;
Ital._Pont._6,2;Ital. Pont. 6,2;;;;;Italia Pontificia 6: Liguria sive provincia Mediolanensis, pars 2: Pedemontium – Liguria Maritima, ed. Paul Fridolin Kehr, Berlin 1961 (Regesta Pontificum Romanorum).;;;;;;;;;
Ital._Pont._7,1;Ital. Pont. 7,1;;;;;Italia Pontificia 7: Venetiae et Histria, pars 1: Provincia Aquileiensis, ed. Paul Fridolin Kehr, Berlin 1961 (Regesta Pontificum Romanorum).;;;;;;;;;
Ital._Pont._9;Ital. Pont. 9;;;;;Italia Pontificia 9 : Samnium – Apulia – Lucania, ed. Paul Fridolin Kehr, Berlin 1962 (Regesta Pontificum Romanorum).;;;;;;;;;
J;J;;;;;Regesta Pontificum Romanorum ab condita ecclesia ad annum post Christum natum MCXCVIII, ed. Philipp Jaffé, Berlin 1851.;;;;;;;;;
J3;J3;;;;;Regesta pontificum Romanorum ab condita ecclesia ad annum post Christum natum MCXCVIII, ed. Philipp Jaffé, Klaus Herbers, 4 Bde., Göttingen 32016–2020.;;;;;;;;;
Jackson,_Ordines_coronationis_Franciae;Jackson, Ordines coronationis Franciae;;;;;Ordines coronationis Franciae. Texts and Ordines for the Coronation of Frankish and French Kings and Queens in the Middle Ages, ed. Richard A. Jackson, 2 Bde., Philadelphia 1995–2000 (The Middle Ages series).;I;;http://books.google.de/books?id=eNTe7z63cJ4C ;;;;;;
Jacobsen,_Flodoard;Jacobsen, Flodoard;;;;;Peter Christian Jacobsen, Flodoard von Reims. Sein Leben und seine Dichtung »De triumphis Christi«, Leiden, Köln 1978 (Mittellateinische Studien und Texte, 10).;;;;;;;;;
Jacquemin,_Annales_de_la_vie_de_Joscelin_de_Vierzi;Jacquemin, Annales de la vie de Joscelin de Vierzi;;;;;Louis Jacquemin, Annales de la vie de Joscelin de Vierzi, 57e éveque de Soissons (1126–1152), in: Achille Luchaire (Hg.), Quatrièmes mélanges d’histoire du Moyen Âge, Paris 1904 (Bibliothèque de la faculté des lettres, 18), S. 1–161.;;;;;;;;;
Janssen,_Päpstliche_Legaten;Janssen, Päpstliche Legaten;;;;;Wilhelm Janssen, Die päpstlichen Legaten in Frankreich. Vom Schisma Anaklets II. bis zum Tode Coelestins III. (1130–1198), Köln 1961 (Kölner historische Abhandlungen, 6).;;;;;;;;;
Janvier,_Petri_abbatis_Cellensis_opera_omnia;Janvier, Petri abbatis Cellensis opera omnia;;;;;Petri Abbatis Cellensis primum, deinde S. Remigii apud Remos ac demum Episcopi Carnotensis, Opera Omnia, ed. Ambrose Janvier, Paris 1671.;;;;;;;;;
Jaffé_2;JE, JK, JL;;;;;Regesta pontificum Romanorum ab condita ecclesia ad annum post Christum natum MCXCVIII, ed. Philipp Jaffé, Samuel Loewenfeld, Ferdinand Kaltenbrunner, Paul Ewald, 2 Bde., Leipzig 21885–1888.;;;;;;;;;
Johnson-Brett-Brooke-Winterbottom,_Hugh_the_Chanter;Johnson/Brett/Brooke/Winterbottom, Hugh the Chanter;;;;;Hugh the Chanter, The History of the Church of York: 1066–1127, ed Charles Johnson, M. Brett, C. N. L. Brooke, and M. Winterbottom, Oxford 1990 (Oxford Medieval Texts).;;;;;;;;;
Johrendt,_Papsttum;Johrendt, Papsttum;;;;;Jochen Johrendt, Papsttum und Landeskirchen im Spiegel der päpstlichen Urkunden (896–1046), Hannover 2004 (MGH Studien und Texte, 33).;;;;;;;;;
Kehr,_Die_ältesten_Papsturkunden;Kehr, Die ältesten Papsturkunden;;;;;Paul Fridolin Kehr, Die ältesten Papsturkunden Spaniens, Berlin 1926 (Abhandlungen der Preußischen Akademie der Wissenschaften, phil.-hist. Kl., 1926,2) (ND in ders., Ausgewählte Schriften, hg. von Rudolf Hiestand, Bd. 2, Göttingen 2005, [Abhandlungen der Akademie der Wissenschaften zu Göttingen. Philologisch-Historische Klasse, 3. Folge, 250], S. 943–1002).;7;;http://www.mgh-bibliothek.de/dokumente/b/b025093.pdf ;;;;;;
Kehr,_Diplomatische_Miszellen_IV;Kehr, Diplomatische Miszellen IV;;;;;Paul Fridolin Kehr, Diplomatische Miszellen IV. Die Scheden des Panvinius, in: Nachrichten von der Gesellschaft der Wissenschaften zu Göttingen. Philologisch-Historische Klasse (1901), S. 1–26 (ND in: ders. [Hg.], Papsturkunden in Italien. Reiseberichte zur Italia Pontificia, Bd. 3, Vatikanstadt 1977 [Acta Romanorum Pontificum, 3], S. 1–26).;;;;;;;;;
Kehr,_Nachträge_zu_den_Papsturkunden_Italiens;Kehr, Nachträge zu den Papsturkunden Italiens;;;;;Paul Fridolin Kehr, Nachträge zu den Papsturkunden Italiens IV, in: Nachrichten von der Gesellschaft der Wissenschaften zu Göttingen. Philologisch-Historische Klasse (1910), S. 229–288. (ND in: ders. [Hg.], Papsturkunden in Italien. Reiseberichte zur Italia Pontificia, Bd. 5, Vatikanstadt 1977 [Acta Romanorum Pontificum, 5], S. 227–286).;;;https://archive.org/details/nachrichten1910akaduoft/page/n3/mode/2up ;;;;;;
Kehr,_Papsturkunden_in_Padova;Kehr, Papsturkunden in Padova;;;;;Paul Fridolin Kehr, Papsturkunden in Padova, Ferrara, Bologna nebst einem Nachtrag über die Papsturkunden in Venedig, in: Nachrichten von der Gesellschaft der Wissenschaften zu Göttingen. Philologisch-Historische Klasse (1897), S. 349–389 (ND in: ders. [Hg.], Papsturkunden in Italien. Reiseberichte zur Italia Pontificia, Bd. 1, Vatikanstadt 1977 [Acta Romanorum Pontificum, 1], S. 137–178).;;;https://archive.org/details/nachrichten1897akaduoft/page/n3/mode/2up ;;;;;;
Kehr,_Papsturkunden_in_Piemont;Kehr, Papsturkunden in Piemont;;;;;Paul Fridolin Kehr, Papsturkunden in Piemont. Bericht über die Forschungen von L. Schiaparelli, in: Nachrichten von der Gesellschaft der Wissenschaften zu Göttingen. Philologisch-Historische Klasse (1901), S. 117–170 (ND in: ders. [Hg.], Papsturkunden in Italien. Reiseberichte zur Italia Pontificia, Bd. 3, Vatikanstadt 1977 [Acta Romanorum Pontificum, 3], S. 87–140).;;;;;;;;;
Kehr,_Papsturkunden_in_Spanien_I;Kehr, Papsturkunden in Spanien I;;;;;Paul Fridolin Kehr, Papsturkunden in Spanien. Vorarbeiten zur Hispania pontificia, Bd. 1: Katalanien, Berlin 1926 (Abhandlungen der Gesellschaft der Wissenschaften zu Göttingen. Philologisch-Historische Klasse, N. F. 18,2).;;;;;;;;;
Kehr,_Papsturkunden_in_Spanien_II;Kehr, Papsturkunden in Spanien II;;;;;Paul Fridolin Kehr, Papsturkunden in Spanien. Vorarbeiten zur Hispania pontificia, Bd. 2: Navarra und Aragon, Berlin 1928 (Abhandlungen der Gesellschaft der Wissenschaften zu Göttingen. Philologisch-Historische Klasse, N. F. 22,1).;;;;;;;;;
Kéry,_Errichtung;Kéry, Errichtung;;;;;Lotte Kéry, Die Errichtung des Bistums Arras 1093/1094, Sigmaringen 1994 (Beihefte der Francia, 33).;;;http://nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb00026805-2 ;;;;;;
Kienast,_Deutschland_und_Frankreich;Kienast, Deutschland und Frankreich;;;;;Walther Kienast, Deutschland und Frankreich in der Kaiserzeit (900–1270). Weltkaiser und Einzelkönige, 3 Bde., Stuttgart 1974–1975 (Monographien zur Geschichte des Mittelalters, 9,1–3).;I;;;;;;;;
Knipping,_Regesten_der_Erzbischöfe_von_Köln_II;Knipping, Regesten der Erzbischöfe von Köln II;;;;;Die Regesten der Erzbischöfe von Köln im Mittelalter, Bd. 2: 1100–1205, ed. Richard Knipping, Bonn 1901 (Publikationen der Gesellschaft für Rheinische Geschichichtskunde, 21).;II;;;;;;;;
von_Knonau,_Jahrbücher;von Knonau, Jahrbücher;;;;;Gerold Meyer von Knonau, Jahrbücher des Deutschen Reiches unter Heinrich IV. und Heinrich V., 7 Bde., Leipzig 1890–1909 (Jahrbücher der Deutschen Geschichte, 14,1–7).;"2 ; 7";;;;;;;;
Kohnle,_Abt_Hugo;Kohnle, Abt Hugo;;;;;Armin Kohnle, Abt Hugo von Cluny 1049–1109, Sigmaringen 1993 (Beihefte der Francia, 32).;;;;;;;;;
Kortüm,_Urkundensprache;Kortüm, Urkundensprache;;;;;Hans-Henning Kortüm, Zur päpstlichen Urkundensprache im frühen Mittelalter. Die päpstlichen Privilegien 896–1046, Sigmaringen 1995 (Beiträge zur Geschichte und Quellenkunde des Mittelalters, 17).;;;;;;;;;
Krusch,_Remigius-Fälschungen;Krusch, Remigius-Fälschungen;;;;;Bruno Krusch, Reimser Remigius-Fälschungen, in: Neues Archiv 20 (1895), S. 509–568.;;;http://www.digizeitschriften.de/dms/img/?PPN=PPN345858530_0020&DMDID=dmdlog47 ;;;;;;
Kupper,_Liège;Kupper, Liège;;;;;Jean-Louis Kupper, Notger de Liège (972–1008), Bruxelles 2015 (Mémoire de la Classe des Lettres. Collection in-8°. Académie Royale de Belgique, 4,11, no 2107).;;;;;;;;;
Kupper,_Raoul_de_Zähringen;Kupper, Raoul de Zähringen;;;;;Jean-Louis Kupper, Raoul de Zähringen, évêque de Liège 1167–1191. Contribution à l’histoire de la politique impériale sur la Meuse moyenne, Bruxelles 1974 (Mémoire de la Classe des Lettres. Collection in -8°. Académie Royale de Belgique, 2,62).;;;;;;;;;
Kuttner,_La_réserve_papale;Kuttner, La réserve papale;;;;;Stephan Kuttner, La réserve papale du droit de canonisation, in: Revue historique de droit français et étranger 4,17 (1938), S. 172–228 (ND in: ;;;http://www.mgh-bibliothek.de/dokumente/z/zsn2b020927.pdf ;;;;;;
;;;;;;ders. [Hg.], The history of ideas and doctrines of canon law in the Middle Ages, London 1980 [Variorum collected studies series, 113], S. 172–228).;;;;;;;;;
Labande,_Guibert_de_Nogent,_Autobiographie;Labande, Guibert de Nogent, Autobiographie;;;;;Guibert de Nogent, Autobiographie, ed. Edmond-René Labande, Paris 1981 (Les Classiques de l’histoire de France au Moyen Âge, 34).;;;;;;;;;
Labande,_Histoire_de_Beauvais;Labande, Histoire de Beauvais;;;;;Léon-Honoré Labande, Histoire de Beauvais et de ses institutions communales jusqu’au commencement du XVe siècle, Paris 1892.;;;;;;;;;
Labanoff_de_Rostoff,_Recueil;Labanoff de Rostoff, Recueil;;;;;Recueil de pièces historiques sur la reine Anne ou Agnès, épouse de Henri Ier, roi de France et fille de Iarosslaf Ier, grand-duc de Russie, ed. Alexandre Labanoff de Rostoff, Paris 1825.;;;;;;;;;
Labbe-Cossart,_Sacrosancta_concilia;Labbe/Cossart, Sacrosancta concilia;;;;;Sacrosancta concilia ad regiam editionem exacta, ed. Philippus Labbe, Gabriel Cossartius, 17 Bde., Paris 1671–1672.;;;http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10321972-9 ;;;;;;
Laehr,_Briefsammlungen;Laehr, Briefsammlungen;;;;;Gerhard Laehr, Aus der Briefsammlung von St. Victor, in: Leo Santifaller (Hg.), Festschrift Albert Brackmann, Weimar 1931, S. 402–421.;;;;;;;;;
Lalore,_Chartes_de_Toussaints;Lalore, Chartes de Toussaints;;;;;Cartulaire de l’abbaye de La Chapelle-aux-Planches: chartes de Montierendier, de Saint-Étienne et de Toussaints de Chalons, d’Andecy, de Beaulieu et de Rethel, ed. Charles Lalore, Troyes 1878 (Collection des principaux cartulaires du diocèse de Troyes, 4).;;;http://www.archive.org/details/collectiondespr00frangoog ;;;;;;
Lambert,_Oorkonden_van_het_Sint-Donatiaanskapittel_de_Brugge;Lambert, Oorkonden van het Sint-Donatiaanskapittel de Brugge;;;;;De oorkonden van het Sint-Donatiaanskapittel de Brugge (9de eeuw–1300), ed. Véronique Lambert (Koninklijke Commissie voor Geschiedenis. Series I in 4°), Bruxelles 2008.;;;;;;;;;
Lamma,_Comneni_e_Staufer;Lamma, Comneni e Staufer;;;;;Paolo Lamma, Comneni e Staufer, 2 Bde., Rom 1955–1957 (Studi storici, 14–18, 22–25).;II;;;;;;;;
de_Lasteyrie,_Cartulaire_de_Paris;de Lasteyrie, Cartulaire de Paris;;;;;Cartulaire général de Paris ou recueil de documents relatifs à l’histoire et à la topographie de Paris, ed. Robert de Lasteyrie, Bd. 1, Paris 1887 (Histoire générale de Paris).;I;;http://www.archive.org/details/cartulairegn01lastuoft ;;;;;;
Laudage,_Alexander_III.;Laudage, Alexander III.;;;;;Johannes Laudage, Alexander III. und Friedrich Barbarossa, Köln 1997 (Forschungen zur Kaiser- und Papstgeschichte des Mittelalters. Beihefte zu J. F. Böhmer, Regesta Imperii, 16).;;;;;;;;;
Lauer,_Annales;Lauer, Annales;;;;;Les annales de Flodoard, ed. Philippe Lauer, Paris 1905 (Collection de textes pour servir à l’étude et à l’enseignement de l’histoire, 39).;;;http://www.archive.org/details/lesannalesdeflod00floduoft ;;;;;;
Lauer,_Règne;Lauer, Règne;;;;;Philippe Lauer, Le règne de Louis IV d’Outre-Mer, Paris 1900. ;;;;;;;;;
Le_Prévost,_Orderici_Vitalis_Historiae;Le Prévost, Orderici Vitalis Historiae;;;;;Orderici Vitalis Historiae ecclesiasticae libri tredecim, ed. Auguste Le Prévost, 5 Bde., Paris 1838–1855.;"IV ; V";;http://books.google.com/books?q=editions:0Ne_H5OaWfeVDBkjOr&id=7sgXAAAAMAAJ&hl=de&as_brr=1 ;;;;;;
Leblond,_Cartulaire_de_l’Hôtel-Dieu_de_Beauvais;Leblond, Cartulaire de l’Hôtel-Dieu de Beauvais;;;;;Cartulaire de l’Hôtel-Dieu de Beauvais: comprenant 529 chartes la plupart originales conservées aux archives hospitalières de cette ville, ed. Victor Leblond, Paris 1919 (Publications de la Société académiques de l’Oise. Documents, 4).;;;;;;;;;
Leclercq,_Yves_de_Chartres,_Correspondance;Leclercq, Yves de Chartres, Correspondance;;;;;Yves de Chartres, Correspondance, ed. Jean Leclercq, Paris 1949 (Les classiques de l’histoire de France au Moyen Âge, 22).;;;;;;;;;
Leclercq-Rochais,_Sancti_Bernardi_opera;Leclercq/Rochais, Sancti Bernardi opera;;;;;Sancti Bernardi opera, ed. Jean Leclercq, Henri-Maria Rochais, 8 Bde., Rom 1957–1977.;"7; 8";;;;;;;;
Lenssen,_À_propos_de_Cîteaux;Lenssen, À propos de Cîteaux;;;;;Séraphin Lenssen, À propos de Cîteaux et S. Thomas de Cantorbéry. L’abdication du Bx Geoffroy d’Auxerre comme Abbé de Clairvaux, in: Collectanea cisterciensia 17 (1955), S. 98–110.;;;;;;;;;
Léonard,_Catalogue_des_actes_des_comtes_de_Toulouse;Léonard, Catalogue des actes des comtes de Toulouse;;;;;Catalogue des actes des comtes de Toulouse, ed. Émile Guillaume Léonard, Paris 1932.;;;;;;;;;
de_Lépinois,_Recherches_historiques;de Lépinois, Recherches historiques;;;;;Eugène de Lepinois, Recherches historiques et critiques sur l’ancien comté et les comtes de Clermont en Beauvoisis du XIe au XIIIe siècle, Beauvais 1877 (Mémoires de la Société académique d’archéologie, sciences et arts du département de l’Oise).;;;https://archive.org/details/rechercheshisto00lpgoog ;;;;;;
Lesne,_Hincmar;Lesne, Hincmar;;;;;Émile Lesne, Hincmar et l’empereur Lothaire. Étude sur l’église de Reims au IXe siècle, in: Revue des questions historiques 78 (1905), S. 5–58. ;;;;;;;;;
Lesne,_Lettre;Lesne, Lettre;;;;;Émile Lesne, La lettre interpolée d’Hadrien Ier à Tilpin et l’Église de Reims au IXe siècle, in: Le Moyen Âge 26 (1913), S. 325–351, 389–413. ;;;;;;;;;
de_Lespinasse,_Cartulaire_Charité-sur-Loire;de Lespinasse, Cartulaire Charité-sur-Loire;;;;;Cartulaire du prieuré de La Charité-sur-Loire (Nièvre), Ordre de Cluni, ed. René de Lespinasse, Nevers 1887 (Publications de la Société nivernaise des lettres, sciences et arts).;;;http://gallica.bnf.fr/ark:/12148/bpt6k56197710.r=.langFR ;;;;;;
Levasseur,_Annales_de_l’église_cathédrale_de_Noyon;Levasseur, Annales de l’église cathédrale de Noyon;;;;;Annales de l’église cathédrale de Noyon, ed. Jacques Le Vasseur, Paris 1633.;;;http://books.google.com/books?id=T-CD0nJov_wC ;;;;;;
Levillain,_Examen;Levillain, Examen;;;;;Léon Levillain, Examen critique des chartes mérovingiennes et carolingiennes de l’abbaye de Corbie, Paris 1902 (Mémoires et documents de l’École des chartes, 5).;;;;;;;;;
Levison,_England;Levison, England;;;;;Wilhelm Levison, England and the Continent in the 8th Century, Oxford 1946 (The Ford lectures). ;;;;;;;;;
Liénard,_Dict._topogr._Meuse;Liénard, Dict. topogr. Meuse;;;;;Félix Liénard, Dictionnaire topographique de la France, Bd. 19: Dictionnaire topographique du département de la Meuse, Paris 1872.;;;http://www.archive.org/details/dictionnairetop00ligoog ;;;;;;
Loewenfeld,_Epistolae_pontificum_Romanorum_ineditae;Loewenfeld, Epistolae pontificum Romanorum ineditae;;;;;Epistolae pontificum Romanorum ineditae, ed. Samuel Loewenfeld, Leipzig 1885.;;;http://www.archive.org/details/epistolaepontif01popegoog ;;;;;;
Loewenfeld,_Zur_Papstgeschichte_des_12._Jahrhunderts;Loewenfeld, Zur Papstgeschichte des 12. Jahrhunderts;;;;;Samuel Loewenfeld, Kleinere Beiträge. I.: Zur Papstgeschichte des 12. Jahrhunderts, in: Neues Archiv 11 (1886), S. 595–597.;;;http://www.digizeitschriften.de/dms/img/?PPN=PPN345858530_0011&DMDID=dmdlog60 ;;;;;;
Lohrmann,_Kirchengut;Lohrmann, Kirchengut;;;;;Dietrich Lohrmann, Kirchengut im nördlichen Frankreich. Besitz, Verfassung und Wirtschaft im Spiegel der Papstprivilegien des 11.–12. Jahrhunderts, Bonn 1983 (Pariser historische Studien, 20).;;;;;;;;;
Lohrmann,_Mühlenkonflikte;Lohrmann, Mühlenkonflikte;;;;;Dietrich Lohrmann, Vom gerichtlichen Zweikampf zum Prozeß an der Kurie: Mühlenkonflikte im französischen 11.–12. Jahrhundert, in: Lotte Kéry, Dietrich Lohrmann, Harald Müller (Hg.), Licet preter solitum. Ludwig Falkenstein zum 65. Geburtstag, Aachen 1998, S. 55–65.;;;;;;;;;
Lohrmann,_Papes_et_cardinaux;Lohrmann, Papes et cardinaux;;;;;Dietrich Lohrmann, Papes et cardinaux en France et en Bourgogne au temps de la Réforme grégorienne, in: Jean-François Reynaud (Hg.), L’abbaye d’Ainay. Des origines au XIIe siècle, Lyon 2008, S. 161–180.;;;;;;;;;
Lohrmann,_Papsturkunden_in_Frankreich_N._F._7;Lohrmann, Papsturkunden in Frankreich N. F. 7;;;;;Papsturkunden in Frankreich. N. F. 7: Nördliche Île-de-France und Vermandois, ed. Dietrich Lohrmann, Göttingen 1976 (Abhandlungen der Akademie der Wissenschaften in Göttingen. Philologisch-Historische Klasse, 3. Folge, 95).;;;;;;;;;
Lohrmann,_Register_Johannes’_VIII.;Lohrmann, Register Johannes’ VIII.;;;;;Dietrich Lohrmann, Das Register Papst Johannes’ VIII. 872–882, Tübingen 1968 (Bibliothek des Deutschen Historischen Instituts in Rom, 30).;;;;;;;;;
Lohrmann-Teske,_Papsturkunden_in_Frankreich_N._F._8;Lohrmann/Teske, Papsturkunden in Frankreich N. F. 8;;;;;Papsturkunden in Frankreich. N. F. 8: Diözese Paris I: Urkunden und Briefsammlungen der Abteien Sainte-Geneviève und Saint-Victor, ed. Dietrich Lohrmann, Gunnar Teske, Göttingen 1989 (Abhandlungen der Akademie der Wissenschaften in Göttingen. Philologisch-Historische Klasse, 3. Folge, 174).;;;;;;;;;
de_Loisne,_Le_cartulaire_du_chapitre_d’Arras;de Loisne, Le cartulaire du chapitre d’Arras;;;;;Le cartulaire du chapitre d’Arras, ed. Auguste de Loisne, Arras 1896.;;;;;;;;;
de_Loisne,_Dict._topogr._Pas-de-Calais;de Loisne, Dict. topogr. Pas-de-Calais;;;;;Auguste de Loisne, Dictionnaire topographique du département du Pas-de-Calais comprenant les noms de lieu anciens et modernes, Paris 1907.;;;;;;;;;
Longnon,_Dict._topogr._Marne;Longnon, Dict. topogr. Marne;;;;;Auguste Longnon, Dictionnaire topographique de la France, Bd. 15: Dictionnaire topographique du Département de la Marne, Paris 1891.;;;http://www.archive.org/details/dictionnairetop00longgoog ;;;;;;
Longnon,_Documents_relatifs_au_comté_de_Champagne;Longnon, Documents relatifs au comté de Champagne;;;;;Documents relatifs au comté de Champagne et de Brie 1172–1361, ed. Auguste Longnon, 3 Bde., Paris 1901–1914.;I;;;;;;;;
Longnon,_Pouillés_de_la_province_de_Reims;Longnon, Pouillés de la province de Reims;;;;;Pouillés de la province de Reims, ed. Auguste Longnon, Paris 1908 (Recueil des historiens de la France. Pouillés, 6).;I;;;;;;;;
Lot,_Année;Lot, Année;;;;;Ferdinand Lot, Une année du règne de Charles le Chauve: année 866, in: Le Moyen Âge 15 (1902), S. 393–438 (ND in: ders., Recueil des travaux historiques, Bd 2, Genf 1970 [École Pratique des Hautes Études, Sciences Historiques et Philologiques, 5,7], S. 415–460).;;;;;;;;;
Lot,_Charte;Lot, Charte;;;;;Ferdinand Lot, Une charte fausse d’Adalbéron, archevêques de Reims, in: Bibliothèque de l’École des Chartes 52 (1891), S. 31–45 (ND in: ders., Recueil des travaux historiques, Bd. 3, Genf 1973 [École Pratique des Hautes Études, Sciences Historiques et Philologiques, 5,9], S. 13–27).;;;http://www.persee.fr/web/revues/home/prescript/article/bec_0373-6237_1891_num_52_1_447639 ;;;;;;
Lot,_Études_Hugues_Capet;Lot, Études Hugues Capet;;;;;Ferdinand Lot, Études sur le règne de Hugues Capet et la fin du Xe siècle, Paris 1903 (Bibliothèque de l’École des Hautes Études. 4e Section. Sciences Historiques et Philologiques, 147) (ND Genf 1975). ;;;;;;;;;
Lot,_Les_derniers_Carolingiens;Lot, Les derniers Carolingiens;;;;;Ferdinand Lot, Les derniers Carolingiens. Lothaire, Louis V, Charles de Lorraine (954–991), Paris 1891 (Bibliothèque de l’École des Hautes Études. 4e Section. Sciences Historiques et Philologiques, 87). ;;;;;;;;;
Luchaire,_Études_sur_les_actes_de_Louis_VII;Luchaire, Études sur les actes de Louis VII;;;;;Achille Luchaire, Études sur les actes de Louis VII, Paris 1885 (Histoire des institutions monarchiques de la France sous les premiers Capétiens[Mémoires et documents]).;;;http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00069849-2 ;;;;;;
Luchaire,_Louis_VI;Luchaire, Louis VI;;;;;Achille Luchaire, Louis VI le Gros. Annales de sa vie et de son règne (1081–1137), Paris 1890.;;;http://www.archive.org/details/louisvilegrosan00luchgoog ;;;;;;
Lupus,_Epistolae_et_vita;Lupus, Epistolae et vita;;;;;Epistolae et vita divi Thomae martyris et archiepiscopi Cantuariensis, nec non epistolae Alexandri III. pontificis, Galliae regis Ludovici Septimi, Angliae regis Henrici II. aliarumque plurium sublimium ex utroque foro personarum, ed. Christianus Lupus, 2 Bde., Bruxelles 1682.;II,4;; ;https://books.google.fr/books?id=mvFbAAAAQAAJ&printsec=frontcover&hl=de;https://books.google.fr/books?id=w_FbAAAAQAAJ&printsec=frontcover&hl=de;;;;
Mabillon,_Annales;Mabillon, Annales;;;;;Annales ordinis s. Benedicti occidentalium monachorum patriarchae, ed. Jean Mabillon, 6 Bde., Paris 1703–1739. ;"IV ; V ; VI";;http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10940151-8 ;;;;;;
Mabillon,_De_re_diplomatica;Mabillon, De re diplomatica;;;;;De re diplomatica, ed. Jean Mabillon, Paris 21709.;;;http://x0b.de/mabillon/index.html ;;;;;;
Mabillon-Germain,_Museum_Italicum;Mabillon/Germain, Museum Italicum;;;;;Museum Italicum seu collectio veterum scriptorum ex bibliothecis italicis, ed. Jean Mabillon, Michel Germain, 2 Bde., Paris 1687–1689.;I,2;;;;;;;;
Maghe,_Chronicon_Bonae_Spei;Maghe, Chronicon Bonae Spei;;;;;Chronicon Ecclesiae Beatae Mariae Virginis Bonae Spei ordinis Praemonstratensis ex archivis eiusdem et quibusdam auctoribus compositum, ed. Engelbert Maghe, Bonne-Espérance 1704.;;;;;;;;;
Mahn,_L’ordre_cistercien;Mahn, L’ordre cistercien;;;;;Jean-Berthold Mahn, L’Ordre Cistercien et son gouvernement des origines au milieu du 13e siècle: 1098–1265, Paris 21951.;;;;;;;;;
Maksimovic,_Alexios_II._Komnenos;Maksimovic, Alexios II. Komnenos;;;;;Ljubomir Maksimovic, Alexios II. Komnenos, in: Lexikon des Mittelalters, Bd. 1, München, Zürich 1980, Sp. 386.;;;;;;;;;
Maleczek,_Papst_und_Kardinalskolleg;Maleczek, Papst und Kardinalskolleg;;;;;Werner Maleczek, Papst und Kardinalskolleg von 1191 bis 1216. Die Kardinäle unter Coelestin III. und Innocenz III., Wien 1984 (Publikationen des Historischen Instituts beim Österreichischen Kulturinstitut in Rom, 1,6).;;;;;;;;;
Manceaux,_Hautvilliers;Manceaux, Hautvilliers;;;;;Jean Baptiste Manceaux, Histoire de l’abbaye et du village d’Hautvilliers, 3 Bde., Epernay 1880.;I;;http://gallica.bnf.fr/ark:/12148/bpt6k141855h ;;;;;;
Mansi,_Conc._coll.;Mansi, Conc. coll.;;;;;Sacrorum conciliorum nova et amplissima collectio, ed. Joannes Dominicus Mansi, Jean-Baptiste Martin, Louis Petit, 53 Bde., Paris 21901–1927.;;;https://catalogue.bnf.fr/ark:/12148/cb37252744r ;;;;;;
Marini,_Papiri_dipl.;Marini, Papiri dipl.;;;;;Gaetano Marini, I Papiri diplomatici, Rom 1805.;;;http://books.google.com/books?id=UBF4CR_Ax1kC ;;;;;;
Marlot,_Histoire;Marlot, Histoire;;;;;Guillaume Marlot, Histoire de la ville, cité et université de Reims, métropolitaine de la Gaule Belgique, divisée en douze livres contenant l’estat ecclésiastique et civil du pais, 4 Bde., Reims 1843–1846.;III;;http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10358204-0 ;;;;;;
Marlot,_Metropolis_Remensis_historia;Marlot, Metropolis Remensis historia;;;;;Metropolis Remensis historia. A Frodoardo primum arctius digesta, nunc demum aliunde accersitis plurimum aucta, et illustrata et ad nostrum hoc saeculum fideliter deducta, ed. Guillaume Marlot, 2 Bde., Reims 1666–1679.;"I ; II";;;https://books.google.de/books?id=wg7-2NPrVREC&printsec=frontcover&hl=nl&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;https://www.digitale-sammlungen.de/de/view/bsb10327969?page=8,9;;;;
Marsy,_Fragments_St-Corneille;Marsy, Fragments St-Corneille;;;;;Arthur de Marsy, Fragments d’un Cartulaire de l’abbaye de Saint-Corneille de Compiègne, in: Révue des sociétés savantes des départements 6,4 (1876), S. 458–479.;;;https://gallica.bnf.fr/ark:/12148/bpt6k359039/f472.item;;;;;;
;;;;;;;;;;;;;;;
